Ranking,Country,Player,Player_Page,Age,Points,Win,Loss,Odds,Code
1,SRB,Novak Djokovic,https://www.atptour.com//en/players/novak-djokovic/d643/overview,34,10940,48,6,0.8888888888888888,d643
2,RUS,Daniil Medvedev,https://www.atptour.com//en/players/daniil-medvedev/mm58/overview,25,7640,54,12,0.8181818181818182,mm58
3,GER,Alexander Zverev,https://www.atptour.com//en/players/alexander-zverev/z355/overview,24,6540,55,14,0.7971014492753623,z355
4,GRE,Stefanos Tsitsipas,https://www.atptour.com//en/players/stefanos-tsitsipas/te51/overview,23,6540,55,18,0.7534246575342466,te51
5,RUS,Andrey Rublev,https://www.atptour.com//en/players/andrey-rublev/re44/overview,24,4950,48,20,0.7058823529411765,re44
6,ESP,Rafael Nadal,https://www.atptour.com//en/players/rafael-nadal/n409/overview,35,4875,24,5,0.8275862068965517,n409
7,ITA,Matteo Berrettini,https://www.atptour.com//en/players/matteo-berrettini/bk40/overview,25,4568,41,11,0.7884615384615384,bk40
8,NOR,Casper Ruud,https://www.atptour.com//en/players/casper-ruud/rh16/overview,22,3760,53,15,0.7794117647058824,rh16
9,POL,Hubert Hurkacz,https://www.atptour.com//en/players/hubert-hurkacz/hb71/overview,24,3706,36,20,0.6428571428571429,hb71
10,CAN,Felix Auger-Aliassime,https://www.atptour.com//en/players/felix-auger-aliassime/ag37/overview,21,3308,38,24,0.6129032258064516,ag37
11,ITA,Jannik Sinner,https://www.atptour.com//en/players/jannik-sinner/s0ag/overview,20,3150,45,21,0.6818181818181818,s0ag
12,GBR,Cameron Norrie,https://www.atptour.com//en/players/cameron-norrie/n771/overview,26,2945,50,22,0.6944444444444444,n771
13,ARG,Diego Schwartzman,https://www.atptour.com//en/players/diego-schwartzman/sm37/overview,29,2625,38,23,0.6229508196721312,sm37
14,CAN,Denis Shapovalov,https://www.atptour.com//en/players/denis-shapovalov/su55/overview,22,2475,30,23,0.5660377358490566,su55
15,AUT,Dominic Thiem,https://www.atptour.com//en/players/dominic-thiem/tb69/overview,28,2425,9,9,0.5,tb69
16,SUI,Roger Federer,https://www.atptour.com//en/players/roger-federer/f324/overview,40,2385,9,4,0.6923076923076923,f324
17,RUS,Aslan Karatsev,https://www.atptour.com//en/players/aslan-karatsev/kc56/overview,28,2370,34,20,0.6296296296296297,kc56
18,CHI,Cristian Garin,https://www.atptour.com//en/players/cristian-garin/gd64/overview,25,2353,21,18,0.5384615384615384,gd64
19,ESP,Roberto Bautista Agut,https://www.atptour.com//en/players/roberto-bautista-agut/bd06/overview,33,2260,29,25,0.5370370370370371,bd06
20,ESP,Pablo Carreno Busta,https://www.atptour.com//en/players/pablo-carreno-busta/cd85/overview,30,2230,37,17,0.6851851851851852,cd85
21,FRA,Gael Monfils,https://www.atptour.com//en/players/gael-monfils/mc65/overview,35,2158,18,17,0.5142857142857142,mc65
22,GEO,Nikoloz Basilashvili,https://www.atptour.com//en/players/nikoloz-basilashvili/bg23/overview,29,2101,33,27,0.55,bg23
23,USA,Taylor Fritz,https://www.atptour.com//en/players/taylor-fritz/fb98/overview,24,2050,34,22,0.6071428571428571,fb98
24,USA,John Isner,https://www.atptour.com//en/players/john-isner/i186/overview,36,1991,23,11,0.6764705882352942,i186
25,GBR,Daniel Evans,https://www.atptour.com//en/players/daniel-evans/e687/overview,31,1942,23,22,0.5111111111111111,e687
26,USA,Reilly Opelka,https://www.atptour.com//en/players/reilly-opelka/o522/overview,24,1936,21,22,0.4883720930232558,o522
27,ITA,Lorenzo Sonego,https://www.atptour.com//en/players/lorenzo-sonego/su87/overview,26,1825,28,23,0.5490196078431373,su87
28,BUL,Grigor Dimitrov,https://www.atptour.com//en/players/grigor-dimitrov/d875/overview,30,1801,24,18,0.5714285714285714,d875
29,RUS,Karen Khachanov,https://www.atptour.com//en/players/karen-khachanov/ke29/overview,25,1731,35,24,0.5932203389830508,ke29
30,CRO,Marin Cilic,https://www.atptour.com//en/players/marin-cilic/c977/overview,33,1710,32,19,0.6274509803921569,c977
31,RSA,Lloyd Harris,https://www.atptour.com//en/players/lloyd-harris/hg86/overview,24,1644,30,22,0.5769230769230769,hg86
32,ESP,Carlos Alcaraz,https://www.atptour.com//en/players/carlos-alcaraz/a0e2/overview,18,1612,32,17,0.6530612244897959,a0e2
33,SRB,Dusan Lajovic,https://www.atptour.com//en/players/dusan-lajovic/l987/overview,31,1591,17,27,0.38636363636363635,l987
